WB_name	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SE552800-125430	0	0.140913551	0.26946082	0.386168439	0.491563038	0.586171246	0.670519695	0.745135013	0.810543831	0.86727278	0.91584849	0.95679759	0.990646711	1.017922484	1.039151538	1.054860503	1.065576011	1.07182469	1.074133171	1.073028085	1.069036061	1.06268373	1.054497721	1.045004666	1.034731194	1.024203935	1.01394952	1.004494579	0.996365742	0.990089639	0.9861929	0.985202156	0.987644037	0.994045172	1.004932193	1.020831729	1.04227041	1.069774868	1.103871731	1.14508763	1.193949195	1.250983057	1.316715845	1.39167419	1.476384722	1.571374071	1.677168868	1.794295742	1.923281324	2.064584896	2.216642676	2.375563095	2.537325912	2.697910887	2.853297779	2.999466346	3.13239635	3.248067549	3.342459702	3.41155257	3.451325911	3.457759485	3.426833051	3.354526369	3.236819198	3.069691298	2.850206524	2.58854304	2.303589349	2.014390755	1.739992564	1.499440082	1.311778613	1.196053463	1.171309938	1.256593342	1.470948982	1.833422162	2.363058188	3.078902366	4	5.124119014	6.3639178	7.61077737	8.756078733	9.6912029	10.30753088	10.49644369	10.14932233	9.157547822	7.412501168	4.805613732	1.460572077	-1.731353232	-3.720539297	-3.457363217	0.107797907	8.005489326	17.44704743	17.2306988	9
SE552900-124001	0	0.112354366	0.224743125	0.337181805	0.449685936	0.562271048	0.674952669	0.78774633	0.90066756	1.013731887	1.126954843	1.240351955	1.353938754	1.467730769	1.581743529	1.695992564	1.810493403	1.925261576	2.040312476	2.155654265	2.271284383	2.387199403	2.503395898	2.619870441	2.736619605	2.853639963	2.970928088	3.088480972	3.206299218	3.324385276	3.44274161	3.561370687	3.680274971	3.799456927	3.91891902	4.038663821	4.158700689	4.27904982	4.399732376	4.52076952	4.642182415	4.763992222	4.886220106	5.008887229	5.132018104	5.255648043	5.379814528	5.504555041	5.629907063	5.755908078	5.882595566	6.010007011	6.138180168	6.267153666	6.396966304	6.527656881	6.659264196	6.791827048	6.925384236	7.059975595	7.195672284	7.332581668	7.470813124	7.610476029	7.751679759	7.894533694	8.039147457	8.185655555	8.334238316	8.485080994	8.638368846	8.79428713	8.953021101	9.114752223	9.279623806	9.447757113	9.619273136	9.794292867	9.972937299	10.15540272	10.3423601	10.53466487	10.73317291	10.93874006	11.15220656	11.37425622	11.60548285	11.84647915	12.09793918	12.36489056	12.65822958	12.98926972	13.36888153	13.805995	14.30869374	14.88030061	15.53375353	16.37595367	17.46234578	18.95989963	23
SE552900-160001	0	0.476339824	0.952636201	1.428970115	1.905422554	2.382067346	2.858925679	3.335995846	3.813282027	4.290792008	4.768535085	5.246521671	5.724762394	6.203267963	6.682046001	7.161100574	7.640448575	8.120128103	8.600315757	9.081453054	9.563852579	10.04743903	10.5322253	11.01866097	11.50728819	11.99868945	12.49347091	12.9922978	13.49590704	14.00527341	14.52114689	15.04316398	15.5706462	16.10277777	16.63960175	17.18315494	17.73423056	18.29130502	18.85332063	19.41988965	19.9910113	20.56686812	21.14760852	21.73320803	22.32334341	22.9179632	23.51722771	24.12094078	24.72882284	25.34072331	25.95666589	26.57684327	27.20161253	27.83135367	28.46638376	29.10682706	29.75282551	30.40482991	31.06355993	31.7296316	32.40288354	33.08337284	33.77173884	34.46937953	35.17699799	35.8963444	36.63124443	37.37984068	38.14236364	38.92194768	39.71914692	40.5374698	41.3767324	42.23700331	43.12031068	44.02579444	44.95485686	45.9104258	46.89631634	47.90985312	48.95061133	50.02026694	51.12124185	52.25853402	53.43468322	54.64507552	55.89433293	57.19850669	58.56248746	59.98065123	61.46353941	63.05269452	64.75191963	66.55197592	68.46739457	70.5002871	72.85189161	75.60707143	79.03810388	83.81807521	96
SE553000-105200	0	0.170831465	0.341765132	0.512832797	0.684066261	0.85549732	1.027157774	1.199079421	1.37129406	1.543833489	1.716729506	1.89001391	2.06371828	2.237863681	2.412456258	2.587501024	2.76300299	2.938967167	3.115398778	3.292305618	3.469697202	3.647583074	3.82597278	4.004875865	4.184302368	4.364264149	4.544773485	4.725842655	4.907483938	5.089709608	5.272531894	5.455962968	5.640015005	5.824700176	6.010030655	6.196027135	6.382739299	6.570222993	6.758534062	6.947728352	7.137863151	7.32900945	7.521245802	7.714650839	7.90930319	8.105281784	8.302671301	8.501561655	8.702042951	8.904205296	9.108136972	9.313889608	9.52148086	9.730927101	9.942244703	10.15546561	10.37076756	10.58840798	10.8086451	11.03173716	11.25794505	11.48753665	11.72078097	11.95794704	12.19931204	12.44520894	12.69599406	12.95202378	13.21356892	13.48029742	13.75161813	14.02693906	14.30588434	14.58872547	14.87585461	15.16767801	15.46483702	15.76816751	16.0785079	16.39629839	16.72120729	17.05281468	17.39079264	17.73504439	18.08551663	18.44316343	18.81093695	19.1919903	19.58867937	20.00256077	20.43579037	20.89301504	21.37984774	21.90474774	22.47967781	23.13105741	23.8887743	24.78414353	25.8962674	27.49682319	35
SE553800-100000	0	0.099832863	0.199532133	0.299143822	0.398713941	0.498288503	0.597913519	0.697635002	0.797498963	0.897551414	0.997838367	1.098405833	1.199299825	1.300566355	1.402251435	1.504401075	1.607061289	1.710278088	1.814097484	1.918565489	2.023728053	2.129621346	2.236261196	2.34366089	2.451833716	2.560792962	2.670551915	2.781123863	2.892522095	3.004759897	3.117848639	3.231792935	3.346595907	3.46226068	3.578790376	3.696188121	3.814457038	3.93360025	4.053620901	4.174522712	4.296310073	4.41898741	4.542559149	4.667029715	4.792403535	4.918685035	5.045878788	5.173996748	5.303061522	5.433096552	5.564125278	5.696171142	5.829257584	5.963408044	6.098645962	6.234994771	6.372477898	6.511118771	6.650940818	6.791967466	6.934222144	7.077730872	7.222569345	7.368857941	7.516718629	7.66627338	7.817644165	7.970952954	8.126279824	8.283406885	8.441987134	8.601673047	8.762117098	8.922971765	9.083936801	9.245697417	9.409870755	9.578110525	9.752070433	9.933404187	10.12341228	10.31893662	10.51376589	10.70162929	10.87625606	11.03143299	11.17111776	11.32103502	11.50971627	11.76569301	12.11679553	12.53682952	12.90815512	13.1042908	12.99875505	12.61192273	12.54426904	13.53948582	15.78348636	14.89773855	19
SE554000-125700	0	0.10278887	0.205601686	0.308477404	0.411454977	0.514573362	0.617871511	0.721388381	0.825162926	0.9292341	1.033640858	1.138422155	1.243616946	1.349264184	1.455402826	1.562071825	1.669310136	1.777156714	1.885650513	1.994830489	2.104726749	2.215328624	2.326613705	2.438559583	2.551143846	2.664344086	2.778137892	2.892502853	3.007416565	3.122877269	3.238951345	3.355719206	3.473261266	3.591657941	3.710989642	3.831336785	3.952779783	4.075393894	4.199181261	4.324089741	4.450065907	4.577056332	4.705007589	4.833866251	4.963578889	5.094095975	5.225405483	5.357516325	5.490437642	5.624178575	5.758748266	5.894155856	6.030410474	6.167519354	6.30548576	6.444312455	6.584002205	6.724557773	6.865981925	7.008277432	7.151496732	7.295859289	7.441619648	7.58903235	7.738351938	7.889832955	8.043724033	8.199744373	8.356672138	8.513188625	8.667975131	8.819712953	8.967083386	9.109281559	9.24966725	9.393620853	9.546536101	9.713806725	9.900826459	10.11237614	10.34015658	10.56332956	10.76055223	10.91048172	10.9917752	10.9855795	10.93077761	10.92425242	11.06542933	11.45373373	12.1877251	13.20516719	14.09565454	14.40327043	13.67209816	11.57628342	9.686301434	11.00737266	17.88794161	14.84275328	19
SE554500-125001	0	0.155914051	0.311817782	0.467723634	0.623644051	0.779591474	0.935578346	1.091617109	1.247720205	1.403900078	1.560169169	1.716539921	1.873024777	2.029636161	2.186382349	2.343262076	2.500272735	2.657411724	2.814676437	2.972064272	3.12958052	3.28728479	3.445259531	3.603587274	3.762350546	3.921631879	4.081511678	4.242023599	4.403155672	4.564894028	4.727224799	4.890134117	5.053607598	5.217598645	5.38200995	5.546739751	5.711686287	5.876747795	6.041823751	6.206958467	6.372474948	6.53872786	6.706071869	6.874861641	7.045450409	7.218041573	7.392559472	7.568897988	7.746951006	7.926612407	8.107773319	8.290282647	8.473956272	8.658609193	8.844056409	9.030113033	9.21663494	9.403579371	9.590919055	9.778626722	9.9666751	10.15506688	10.34401059	10.53380121	10.72473402	10.91710433	11.11119261	11.30703125	11.50444688	11.70325993	11.90329083	12.10437336	12.3066232	12.51042469	12.71617288	12.92426283	13.13506573	13.3486461	13.56485559	13.78354153	14.00455127	14.2280726	14.45557396	14.68882486	14.92959482	15.17977875	15.44250352	15.7215951	16.02088746	16.34404781	16.6941981	17.07435672	17.48943671	17.94870906	18.46249447	19.04352424	19.69482704	20.39445192	21.2790757	22.76481391	32
SE554800-142001	0	0.124117346	0.248223032	0.372342612	0.49650164	0.620725671	0.745040258	0.869470957	0.994043321	1.118782905	1.243715263	1.368865948	1.494260516	1.619924521	1.745883516	1.872163056	1.998788696	2.125775035	2.25309159	2.380696273	2.508546999	2.636601684	2.764818243	2.893154589	3.021568806	3.150075026	3.278824278	3.407988102	3.537738039	3.668245627	3.799682407	3.932219919	4.066023961	4.201123266	4.337406689	4.474756774	4.613056067	4.752187113	4.892032458	5.032474784	5.173417105	5.31480405	5.456585342	5.598710705	5.741129861	5.883792535	6.026649042	6.169800041	6.31369465	6.458831218	6.605708098	6.754823641	6.906676197	7.061754452	7.220161304	7.381492592	7.545309669	7.711173889	7.878646604	8.047291824	8.216917066	8.387765731	8.560126496	8.734288032	8.910539014	9.08914936	9.269952316	9.452341504	9.635691195	9.819375664	10.00276919	10.18586697	10.37103774	10.56121732	10.75934149	10.96834604	11.19068148	11.42577166	11.67187575	11.92725045	12.19040395	12.46226124	12.74509547	13.04119372	13.35246201	13.67978695	14.02388681	14.38644943	14.77232988	15.18690756	15.63182661	16.10440755	16.60646151	17.14981721	17.73935849	18.36704574	19.06175306	19.83325712	20.66388115	22.4181386	34
SE554810-125240	0	0.079674419	0.158635134	0.237003064	0.314899133	0.39244426	0.469759367	0.546965375	0.624183207	0.701533782	0.779138022	0.857116849	0.935591183	1.014681947	1.09451006	1.175196445	1.256862023	1.339627715	1.423614442	1.508943126	1.595734687	1.684110047	1.774190128	1.866095851	1.959948136	2.055860769	2.153831693	2.253764805	2.355561281	2.459122299	2.564349036	2.671142669	2.779404377	2.889035335	2.999936722	3.112055737	3.225523983	3.340519241	3.457219292	3.575801919	3.696444902	3.819326024	3.944623066	4.072502811	4.202941833	4.335755954	4.470755942	4.607752565	4.74655659	4.886978785	5.028830212	5.171982643	5.316442359	5.462233691	5.609380974	5.757908541	5.907840726	6.059203422	6.212086926	6.366667429	6.523127091	6.681648074	6.842412539	7.005602645	7.171343023	7.339550515	7.51009507	7.682846637	7.857675164	8.034450985	8.213132421	8.393877412	8.576871426	8.762299932	8.950348398	9.141168988	9.33461247	9.530369409	9.728128889	9.927579995	10.12850924	10.3319589	10.53984411	10.7540976	10.97665212	11.2085133	11.44563442	11.68225613	11.91261773	12.13218846	12.35428412	12.60567911	12.9134783	13.29479737	13.68169697	13.96323073	14.08977918	14.49812474	15.75750455	16.30725675	18
SE554900-124001	0	0.100197346	0.200307144	0.300356703	0.400373335	0.500384349	0.600417054	0.70049876	0.800656778	0.900918417	1.001310987	1.101861798	1.20259816	1.303547382	1.404736775	1.506193648	1.607945312	1.710019075	1.812442249	1.915242142	2.018446048	2.122076537	2.226144981	2.330661128	2.435634727	2.541075526	2.646993274	2.75339772	2.860298612	2.967705699	3.075629481	3.184088212	3.293104717	3.40270188	3.512902584	3.623729714	3.735206153	3.847354785	3.960198494	4.073759801	4.188056733	4.303104274	4.418917351	4.535510892	4.652899823	4.771099071	4.890123564	5.009988233	5.130718921	5.252375542	5.375024643	5.498732772	5.623566475	5.7495923	5.876876794	6.005486504	6.135489756	6.266961136	6.399976613	6.534612151	6.670943717	6.809047278	6.948998799	7.090881546	7.23487276	7.381214964	7.530151994	7.681927689	7.836785886	7.994970423	8.156721141	8.322260313	8.491805385	8.665573806	8.843783021	9.026650504	9.214406661	9.407315711	9.605647331	9.8096712	10.01965715	10.23612539	10.46035693	10.69377674	10.93780979	11.19379345	11.46230931	11.74355252	12.03771568	12.34541234	12.66841635	13.00869981	13.36993101	13.76207498	14.19659588	14.68615604	15.24575021	15.9222749	16.79688997	18.07737278	36
